PassengerId,Survived,Pclass,Male,Age,SibSp,Parch,Fare,Cabin,Embarked
267,0,3,1,16,4,1,39.6875,,S
283,0,3,1,16,0,0,9.5,,S
330,1,1,0,16,0,1,57.9792,B18,C
334,0,3,1,16,2,0,18,,S
505,1,1,0,16,0,0,86.5,B79,S
575,0,3,1,16,0,0,8.05,,S
747,0,3,1,16,1,1,20.25,,S
765,0,3,1,16,0,0,7.775,,S
792,0,2,1,16,0,0,26,,S
842,0,2,1,16,0,0,10.5,,S
854,1,1,0,16,0,1,39.4,D28,S
69,1,3,0,17,4,2,7.925,,S
85,1,2,0,17,0,0,10.5,,S
115,0,3,0,17,0,0,14.4583,,C
164,0,3,1,17,0,0,8.6625,,S
308,1,1,0,17,1,0,108.9,C65,C
390,1,2,0,17,0,0,12,,C
434,0,3,1,17,0,0,7.125,,S
501,0,3,1,17,0,0,8.6625,,S
533,0,3,1,17,1,1,7.2292,,C
551,1,1,1,17,0,2,110.8833,C70,C
722,0,3,1,17,1,0,7.0542,,S
782,1,1,0,17,1,0,57,B20,S
845,0,3,1,17,0,0,8.6625,,S
39,0,3,0,18,2,0,18,,S
50,0,3,0,18,1,0,17.8,,S
145,0,2,1,18,0,0,11.5,,S
176,0,3,1,18,1,1,7.8542,,S
205,1,3,1,18,0,0,8.05,,S
229,0,2,1,18,0,0,13,,S
312,1,1,0,18,2,2,262.375,B57 B59 B63 B66,C
372,0,3,1,18,1,0,6.4958,,S
386,0,2,1,18,0,0,73.5,,S
418,1,2,0,18,0,2,13,,S
425,0,3,1,18,1,1,20.2125,,S
506,0,1,1,18,1,0,108.9,C65,C
586,1,1,0,18,0,2,79.65,E68,S
652,1,2,0,18,0,1,23,,S
655,0,3,0,18,0,0,6.75,,Q
676,0,3,1,18,0,0,7.775,,S
678,1,3,0,18,0,0,9.8417,,S
689,0,3,1,18,0,0,7.7958,,S
701,1,1,0,18,1,0,227.525,C62 C64,C
703,0,3,0,18,0,1,14.4542,,C
758,0,2,1,18,0,0,11.5,,S
776,0,3,1,18,0,0,7.75,,S
787,1,3,0,18,0,0,7.4958,,S
808,0,3,0,18,0,0,7.775,,S
835,0,3,1,18,0,0,8.3,,S
856,1,3,0,18,0,1,9.35,,S
28,0,1,1,19,3,2,263,C23 C25 C27,S
45,1,3,0,19,0,0,7.8792,,Q
68,0,3,1,19,0,0,8.1583,,S
137,1,1,0,19,0,2,26.2833,D47,S
144,0,3,1,19,0,0,6.75,,Q
146,0,2,1,19,1,1,36.75,,S
192,0,2,1,19,0,0,13,,S
193,1,3,0,19,1,0,7.8542,,S
227,1,2,1,19,0,0,10.5,,S
239,0,2,1,19,0,0,10.5,,S
284,1,3,1,19,0,0,8.05,,S
292,1,1,0,19,1,0,91.0792,B49,C
303,0,3,1,19,0,0,0,,S
373,0,3,1,19,0,0,8.05,,S
380,0,3,1,19,0,0,7.775,,S
428,1,2,0,19,0,0,26,,S
547,1,2,0,19,1,0,26,,S
567,0,3,1,19,0,0,7.8958,,S
576,0,3,1,19,0,0,14.5,,S
647,0,3,1,19,0,0,7.8958,,S
688,0,3,1,19,0,0,10.1708,,S
716,0,3,1,19,0,0,7.65,F G73,S
749,0,1,1,19,1,0,53.1,D30,S
878,0,3,1,19,0,0,7.8958,,S
888,1,1,0,19,0,0,30,B42,S
13,0,3,1,20,0,0,8.05,,S
92,0,3,1,20,0,0,7.8542,,S
114,0,3,0,20,1,0,9.825,,S
132,0,3,1,20,0,0,7.05,,S
379,0,3,1,20,0,0,4.0125,,C
405,0,3,0,20,0,0,8.6625,,S
442,0,3,1,20,0,0,9.5,,S
623,1,3,1,20,1,1,15.7417,,C
641,0,3,1,20,0,0,7.8542,,S
665,1,3,1,20,1,0,7.925,,S
683,0,3,1,20,0,0,9.225,,S
726,0,3,1,20,0,0,8.6625,,S
763,1,3,1,20,0,0,7.2292,,C
841,0,3,1,20,0,0,7.925,,S
877,0,3,1,20,0,0,9.8458,,S
228,0,3,1,20.5,0,0,7.25,,S
38,0,3,1,21,0,0,8.05,,S
52,0,3,1,21,0,0,7.8,,S
57,1,2,0,21,0,0,10.5,,S
73,0,2,1,21,0,0,73.5,,S
103,0,1,1,21,0,1,77.2875,D26,S
107,1,3,0,21,0,0,7.65,,S
116,0,3,1,21,0,0,7.925,,S
121,0,2,1,21,2,0,73.5,,S
174,0,3,1,21,0,0,7.925,,S
392,1,3,1,21,0,0,7.7958,,S
403,0,3,0,21,1,0,9.825,,S
409,0,3,1,21,0,0,7.775,,S
422,0,3,1,21,0,0,7.7333,,Q
437,0,3,0,21,2,2,34.375,,S
492,0,3,1,21,0,0,7.25,,S
495,0,3,1,21,0,0,8.05,,S
502,0,3,0,21,0,0,7.75,,Q
624,0,3,1,21,0,0,7.8542,,S
625,0,3,1,21,0,0,16.1,,S
628,1,1,0,21,0,0,77.9583,D9,S
653,0,3,1,21,0,0,8.4333,,S
743,1,1,0,21,2,2,262.375,B57 B59 B63 B66,C
837,0,3,1,21,0,0,8.6625,,S
862,0,2,1,21,1,0,11.5,,S
1,0,3,1,22,1,0,7.25,,S
61,0,3,1,22,0,0,7.2292,,C
81,0,3,1,22,0,0,9,,S
113,0,3,1,22,0,0,8.05,,S
142,1,3,0,22,0,0,7.75,,S
152,1,1,0,22,1,0,66.6,C2,S
213,0,3,1,22,0,0,7.25,,S
226,0,3,1,22,0,0,9.35,,S
244,0,3,1,22,0,0,7.125,,S
288,0,3,1,22,0,0,7.8958,,S
290,1,3,0,22,0,0,7.75,,Q
321,0,3,1,22,0,0,7.25,,S
324,1,2,0,22,1,1,29,,S
357,1,1,0,22,0,1,55,E33,S
374,0,1,1,22,0,0,135.6333,,C
377,1,3,0,22,0,0,7.25,,S
396,0,3,1,22,0,0,7.7958,,S
475,0,3,0,22,0,0,9.8375,,S
479,0,3,1,22,0,0,7.5208,,S
522,0,3,1,22,0,0,7.8958,,S
540,1,1,0,22,0,2,49.5,B39,C
554,1,3,1,22,0,0,7.225,,C
555,1,3,0,22,0,0,7.775,,S
589,0,3,1,22,0,0,8.05,,S
609,1,2,0,22,1,2,41.5792,,C
709,1,1,0,22,0,0,151.55,,S
883,0,3,0,22,0,0,10.5167,,S
89,1,1,0,23,3,2,263,C23 C25 C27,S
98,1,1,1,23,0,1,63.3583,D10 D12,C
136,0,2,1,23,0,0,15.0458,,C
351,0,3,1,23,0,0,9.225,,S
394,1,1,0,23,1,0,113.275,D36,C
399,0,2,1,23,0,0,10.5,,S
474,1,2,0,23,0,0,13.7917,D,C
530,0,2,1,23,2,1,11.5,,S
650,1,3,0,23,0,0,7.55,,S
659,0,2,1,23,0,0,13,,S
734,0,2,1,23,0,0,13,,S
735,0,2,1,23,0,0,13,,S
754,0,3,1,23,0,0,7.8958,,S
817,0,3,0,23,0,0,7.925,,S
834,0,3,1,23,0,0,7.8542,,S
297,0,3,1,23.5,0,0,7.2292,,C
90,0,3,1,24,0,0,8.05,,S
119,0,1,1,24,0,1,247.5208,B58 B60,C
128,1,3,1,24,0,0,7.1417,,S
140,0,1,1,24,0,0,79.2,B86,C
143,1,3,0,24,1,0,15.85,,S
200,0,2,0,24,0,0,13,,S
211,0,3,1,24,0,0,7.05,,S
235,0,2,1,24,0,0,10.5,,S
248,1,2,0,24,0,2,14.5,,S
294,0,3,0,24,0,0,8.85,,S
295,0,3,1,24,0,0,7.8958,,S
311,1,1,0,24,0,0,83.1583,C54,C
317,1,2,0,24,1,0,26,,S
342,1,1,0,24,3,2,263,C23 C25 C27,S
346,1,2,0,24,0,0,13,F33,S
370,1,1,0,24,0,0,69.3,B35,C
395,1,3,0,24,0,2,16.7,G6,S
438,1,2,0,24,2,3,18.75,,S
500,0,3,1,24,0,0,7.7958,,S
515,0,3,1,24,0,0,7.4958,,S
566,0,3,1,24,2,0,24.15,,S
601,1,2,0,24,2,1,27,,S
616,1,2,0,24,1,2,65,,S
642,1,1,0,24,0,0,69.3,B35,C
656,0,2,1,24,2,0,73.5,,S
711,1,1,0,24,0,0,49.5042,C90,C
744,0,3,1,24,1,0,16.1,,S
771,0,3,1,24,0,0,9.5,,S
859,1,3,0,24,0,3,19.2583,,C
865,0,2,1,24,0,0,13,,S
677,0,3,1,24.5,0,0,8.05,,S
76,0,3,1,25,0,0,7.65,F G73,S
135,0,2,1,25,0,0,13,,S
247,0,3,0,25,0,0,7.775,,S
268,1,3,1,25,1,0,7.775,,S
272,1,3,1,25,0,0,0,,S
344,0,2,1,25,0,0,13,,S
354,0,3,1,25,1,0,17.8,,S
371,1,1,1,25,1,0,55.4417,E50,C
443,0,3,1,25,1,0,7.775,,S
485,1,1,1,25,1,0,91.0792,B49,C
499,0,1,0,25,1,2,151.55,C22 C26,S
581,1,2,0,25,1,1,30,,S
667,0,2,1,25,0,0,13,,S
686,0,2,1,25,1,2,41.5792,,C
694,0,3,1,25,0,0,7.225,,C
704,0,3,1,25,0,0,7.7417,,Q
729,0,2,1,25,1,0,26,,S
730,0,3,0,25,1,0,7.925,,S
785,0,3,1,25,0,0,7.05,,S
786,0,3,1,25,0,0,7.25,,S
795,0,3,1,25,0,0,7.8958,,S
881,1,2,0,25,0,1,26,,S
885,0,3,1,25,0,0,7.05,,S
3,1,3,0,26,0,0,7.925,,S
70,0,3,1,26,2,0,8.6625,,S
74,0,3,1,26,1,0,14.4542,,C
94,0,3,1,26,1,2,20.575,,S
163,0,3,1,26,0,0,7.775,,S
208,1,3,1,26,0,0,18.7875,,C
291,1,1,0,26,0,0,78.85,,S
313,0,2,0,26,1,1,26,,S
316,1,3,0,26,0,0,7.8542,,S
402,0,3,1,26,0,0,8.05,,S
510,1,3,1,26,0,0,56.4958,,S
618,0,3,0,26,1,0,16.1,,S
620,0,2,1,26,0,0,10.5,,S
629,0,3,1,26,0,0,7.8958,,S
705,0,3,1,26,1,0,7.8542,,S
811,0,3,1,26,0,0,7.8875,,S
871,0,3,1,26,0,0,7.8958,,S
890,1,1,1,26,0,0,30,C148,C
9,1,3,0,27,0,2,11.1333,,S
42,0,2,0,27,1,0,21,,S
147,1,3,1,27,0,0,7.7958,,S
217,1,3,0,27,0,0,7.925,,S
222,0,2,1,27,0,0,13,,S
322,0,3,1,27,0,0,7.8958,,S
378,0,1,1,27,0,2,211.5,C82,C
552,0,2,1,27,0,0,26,,S
608,1,1,1,27,0,0,30.5,,S
621,0,3,1,27,1,0,14.4542,,C
682,1,1,1,27,0,0,76.7292,D49,C
718,1,2,0,27,0,0,10.5,E101,S
725,1,1,1,27,1,0,53.1,E8,S
805,1,3,1,27,0,0,6.975,,S
822,1,3,1,27,0,0,8.6625,,S
824,1,3,0,27,0,1,12.475,E121,S
867,1,2,0,27,1,0,13.8583,,C
887,0,2,1,27,0,0,13,,S
24,1,1,1,28,0,0,35.5,A6,S
35,0,1,1,28,1,0,82.1708,,C
84,0,1,1,28,0,0,47.1,,S
101,0,3,0,28,0,0,7.8958,,S
106,0,3,1,28,0,0,7.8958,,S
170,0,3,1,28,0,0,56.4958,,S
201,0,3,1,28,0,0,9.5,,S
282,0,3,1,28,0,0,7.8542,,S
314,0,3,1,28,0,0,7.8958,,S
343,0,2,1,28,0,0,13,,S
356,0,3,1,28,0,0,9.5,,S
393,0,3,1,28,2,0,7.925,,S
400,1,2,0,28,0,0,12.65,,S
404,0,3,1,28,1,0,15.85,,S
424,0,3,0,28,1,1,14.4,,S
427,1,2,0,28,1,0,26,,S
431,1,1,1,28,0,0,26.55,C52,S
444,1,2,0,28,0,0,13,,S
509,0,3,1,28,0,0,22.525,,S
563,0,2,1,28,0,0,13.5,,S
636,1,2,0,28,0,0,13,,S
757,0,3,1,28,0,0,7.7958,,S
849,0,2,1,28,0,1,33,,S
875,1,2,0,28,1,0,24,,C
884,0,2,1,28,0,0,10.5,,S
58,0,3,1,28.5,0,0,7.2292,,C
736,0,3,1,28.5,0,0,16.1,,S
54,1,2,0,29,1,0,26,,S
67,1,2,0,29,0,0,10.5,F33,S
82,1,3,1,29,0,0,9.5,,S
91,0,3,1,29,0,0,8.05,,S
118,0,2,1,29,1,0,21,,S
134,1,2,0,29,1,0,26,,S
232,0,3,1,29,0,0,7.775,,S
243,0,2,1,29,0,0,10.5,,S
252,0,3,0,29,1,1,10.4625,G6,S
256,1,3,0,29,0,2,15.2458,,C
337,0,1,1,29,1,0,66.6,C2,S
362,0,2,1,29,1,0,27.7208,,C
423,0,3,1,29,0,0,7.875,,S
456,1,3,1,29,0,0,7.8958,,C
478,0,3,1,29,1,0,7.0458,,S
511,1,3,1,29,0,0,7.75,,Q
568,0,3,0,29,0,4,21.075,,S
714,0,3,1,29,0,0,9.4833,,S
731,1,1,0,29,0,0,211.3375,B5,S
783,0,1,1,29,0,0,30,D6,S
80,1,3,0,30,0,0,12.475,,S
158,0,3,1,30,0,0,8.05,,S
179,0,2,1,30,0,0,13,,S
214,0,2,1,30,0,0,13,,S
220,0,2,1,30,0,0,10.5,,S
245,0,3,1,30,0,0,7.225,,C
254,0,3,1,30,1,0,16.1,,S
258,1,1,0,30,0,0,86.5,B77,S
287,1,3,1,30,0,0,9.5,,S
309,0,2,1,30,1,0,24,,C
310,1,1,0,30,0,0,56.9292,E36,C
323,1,2,0,30,0,0,12.35,,Q
366,0,3,1,30,0,0,7.25,,S
419,0,2,1,30,0,0,13,,S
453,0,1,1,30,0,0,27.75,C111,C
489,0,3,1,30,0,0,8.05,,S
521,1,1,0,30,0,0,93.5,B73,S
535,0,3,0,30,0,0,8.6625,,S
538,1,1,0,30,0,0,106.425,,C
607,0,3,1,30,0,0,7.8958,,S
727,1,2,0,30,3,0,21,,S
748,1,2,0,30,0,0,13,,S
799,0,3,1,30,0,0,7.2292,,C
800,0,3,0,30,1,1,24.15,,S
843,1,1,0,30,0,0,31,,C
768,0,3,0,30.5,0,0,7.75,,Q
815,0,3,1,30.5,0,0,8.05,,S
19,0,3,0,31,1,0,18,,S
216,1,1,0,31,1,0,113.275,D36,C
319,1,1,0,31,0,2,164.8667,C7,S
329,1,3,0,31,1,1,20.525,,S
397,0,3,0,31,0,0,7.8542,,S
440,0,2,1,31,0,0,10.5,,S
638,0,2,1,31,1,1,26.25,,S
672,0,1,1,31,1,0,52,B71,S
674,1,2,1,31,0,0,13,,S
691,1,1,1,31,1,0,57,B20,S
745,1,3,1,31,0,0,7.925,,S
750,0,3,1,31,0,0,7.75,,Q
798,1,3,0,31,0,0,8.6833,,S
802,1,2,0,31,1,1,26.25,,S
806,0,3,1,31,0,0,7.775,,S
818,0,2,1,31,1,1,37.0042,,C
868,0,1,1,31,0,0,50.4958,A24,S
71,0,2,1,32,0,0,10.5,,S
75,1,3,1,32,0,0,56.4958,,S
191,1,2,0,32,0,0,13,,S
207,0,3,1,32,1,0,15.85,,S
219,1,1,0,32,0,0,76.2917,D15,C
383,0,3,1,32,0,0,7.925,,S
430,1,3,1,32,0,0,8.05,E10,S
520,0,3,1,32,0,0,7.8958,,S
544,1,2,1,32,1,0,26,,S
570,1,3,1,32,0,0,7.8542,,S
580,1,3,1,32,0,0,7.925,,S
633,1,1,1,32,0,0,30.5,B50,C
637,0,3,1,32,0,0,7.925,,S
658,0,3,0,32,1,1,15.5,,Q
666,0,2,1,32,2,0,73.5,,S
770,0,3,1,32,0,0,8.3625,,S
839,1,3,1,32,0,0,56.4958,,S
891,0,3,1,32,0,0,7.75,,Q
123,0,2,1,32.5,1,0,30.0708,,C
124,1,2,0,32.5,0,0,13,E101,S
86,1,3,0,33,3,0,15.85,,S
104,0,3,1,33,0,0,8.6542,,S
131,0,3,1,33,0,0,7.8958,,C
240,0,2,1,33,0,0,12.275,,S
286,0,3,1,33,0,0,8.6625,,C
413,1,1,0,33,1,0,90,C78,Q
473,1,2,0,33,1,2,27.75,,S
507,1,2,0,33,0,2,26,,S
549,0,3,1,33,1,1,20.525,,S
720,0,3,1,33,0,0,7.775,,S
753,0,3,1,33,0,0,9.5,,S
760,1,1,0,33,0,0,86.5,B77,S
810,1,1,0,33,1,0,53.1,E8,S
873,0,1,1,33,0,0,5,B51 B53 B55,S
882,0,3,1,33,0,0,7.8958,,S
22,1,2,1,34,0,0,13,D56,S
99,1,2,0,34,0,1,23,,S
100,0,2,1,34,1,0,26,,S
203,0,3,1,34,0,0,6.4958,,S
406,0,2,1,34,1,0,21,,S
417,1,2,0,34,1,1,32.5,,S
448,1,1,1,34,0,0,26.55,,S
462,0,3,1,34,0,0,8.05,,S
477,0,2,1,34,1,0,21,,S
517,1,2,0,34,0,0,10.5,F33,S
577,1,2,0,34,0,0,13,,S
617,0,3,1,34,1,1,14.4,,S
723,0,2,1,34,0,0,13,,S
759,0,3,1,34,0,0,8.05,,S
801,0,2,1,34,0,0,13,,S
844,0,3,1,34.5,0,0,6.4375,,C
4,1,1,0,35,1,0,53.1,C123,S
5,0,3,1,35,0,0,8.05,,S
21,0,2,1,35,0,0,26,,S
212,1,2,0,35,0,0,21,,S
231,1,1,0,35,1,0,83.475,C83,S
259,1,1,0,35,0,0,512.3292,,C
270,1,1,0,35,0,0,135.6333,C99,S
280,1,3,0,35,1,1,20.25,,S
364,0,3,1,35,0,0,7.05,,S
384,1,1,0,35,1,0,52,,S
487,1,1,0,35,1,0,90,C93,S
591,0,3,1,35,0,0,7.125,,S
605,1,1,1,35,0,0,26.55,,C
615,0,3,1,35,0,0,8.05,,S
702,1,1,1,35,0,0,26.2875,E24,S
738,1,1,1,35,0,0,512.3292,B101,C
813,0,2,1,35,0,0,10.5,,S
848,0,3,1,35,0,0,7.8958,,C
180,0,3,1,36,0,0,0,,S
190,0,3,1,36,0,0,7.8958,,S
266,0,2,1,36,0,0,10.5,,S
293,0,2,1,36,0,0,12.875,D,C
326,1,1,0,36,0,0,135.6333,C32,C
328,1,2,0,36,0,0,13,D,S
345,0,2,1,36,0,0,13,,S
388,1,2,0,36,0,0,13,,S
391,1,1,1,36,1,2,120,B96 B98,S
451,0,2,1,36,1,2,27.75,,S
513,1,1,1,36,0,0,26.2875,E25,S
519,1,2,0,36,1,0,26,,S
541,1,1,0,36,0,2,71,B22,S
560,1,3,0,36,1,0,17.4,,S
573,1,1,1,36,0,0,26.3875,E25,S
584,0,1,1,36,0,0,40.125,A10,C
596,0,3,1,36,1,1,24.15,,S
606,0,3,1,36,1,0,15.55,,S
664,0,3,1,36,0,0,7.4958,,S
680,1,1,1,36,0,1,512.3292,B51 B53 B55,C
742,0,1,1,36,1,0,78.85,C46,S
764,1,1,0,36,1,2,120,B96 B98,S
149,0,2,1,36.5,0,2,26,F2,S
105,0,3,1,37,2,0,7.925,,S
138,0,1,1,37,1,0,53.1,C123,S
249,1,1,1,37,1,1,52.5542,D35,S
274,0,1,1,37,0,1,29.7,C118,C
504,0,3,0,37,0,0,9.5875,,S
595,0,2,1,37,1,0,26,,S
2,1,1,0,38,1,0,71.2833,C85,C
26,1,3,0,38,1,5,31.3875,,S
62,1,1,0,38,0,0,80,B28,
109,0,3,1,38,0,0,7.8958,,S
225,1,1,1,38,1,0,90,C93,S
333,0,1,1,38,0,1,153.4625,C91,S
358,0,2,0,38,0,0,13,,S
466,0,3,1,38,0,0,7.05,,S
472,0,3,1,38,0,0,8.6625,,S
717,1,1,0,38,0,0,227.525,C45,C
823,0,1,1,38,0,0,0,,S
14,0,3,1,39,1,5,31.275,,S
401,1,3,1,39,0,0,7.925,,S
529,0,3,1,39,0,0,7.925,,S
559,1,1,0,39,1,1,79.65,E67,S
578,1,1,0,39,1,0,55.9,E44,S
582,1,1,0,39,1,1,110.8833,C68,C
611,0,3,0,39,1,5,31.275,,S
706,0,2,1,39,0,0,26,,S
796,0,2,1,39,0,0,13,,S
807,0,1,1,39,0,0,0,A36,S
809,0,2,1,39,0,0,13,,S
812,0,3,1,39,0,0,24.15,,S
836,1,1,0,39,1,1,83.1583,E49,C
886,0,3,0,39,0,5,29.125,,Q
31,0,1,1,40,0,0,27.7208,,C
41,0,3,0,40,1,0,9.475,,S
162,1,2,0,40,0,0,15.75,,S
189,0,3,1,40,1,1,15.5,,Q
210,1,1,1,40,0,0,31,A31,C
264,0,1,1,40,0,0,0,B94,S
320,1,1,0,40,1,1,134.5,E34,C
347,1,2,0,40,0,0,13,,S
361,0,3,1,40,1,4,27.9,,S
562,0,3,1,40,0,0,7.8958,,S
610,1,1,0,40,0,0,153.4625,C125,S
662,0,3,1,40,0,0,7.225,,C
671,1,2,0,40,1,1,39,,S
154,0,3,1,40.5,0,2,14.5,,S
526,0,3,1,40.5,0,0,7.75,,Q
255,0,3,0,41,0,2,20.2125,,S
273,1,2,0,41,0,1,19.5,,S
338,1,1,0,41,0,0,134.5,E40,C
639,0,3,0,41,0,5,39.6875,,S
762,0,3,1,41,0,0,7.125,,S
861,0,3,1,41,2,0,14.1083,,S
36,0,1,1,42,1,0,52,,S
150,0,2,1,42,0,0,13,,S
198,0,3,1,42,0,1,8.4042,,S
218,0,2,1,42,1,0,27,,S
289,1,2,1,42,0,0,13,,S
350,0,3,1,42,0,0,8.6625,,S
381,1,1,0,42,0,0,227.525,,C
433,1,2,0,42,1,0,26,,S
622,1,1,1,42,1,0,52.5542,D19,S
700,0,3,1,42,0,0,7.65,F G63,S
708,1,1,1,42,0,0,26.2875,E24,S
846,0,3,1,42,0,0,7.55,,S
866,1,2,0,42,0,0,13,,S
315,0,2,1,43,1,1,26.25,,S
669,0,3,1,43,0,0,8.05,,S
679,0,3,0,43,1,6,46.9,,S
780,1,1,0,43,0,1,211.3375,B3,S
819,0,3,1,43,0,0,6.45,,S
161,0,3,1,44,0,1,16.1,,S
195,1,1,0,44,0,0,27.7208,B4,C
237,0,2,1,44,1,0,26,,S
246,0,1,1,44,2,0,90,C78,Q
415,1,3,1,44,0,0,7.925,,S
524,1,1,0,44,0,1,57.9792,B18,C
604,0,3,1,44,0,0,8.05,,S
697,0,3,1,44,0,0,8.05,,S
855,0,2,0,44,1,0,26,,S
63,0,1,1,45,1,0,83.475,C83,S
130,0,3,1,45,0,0,6.975,,S
168,0,3,0,45,1,4,27.9,,S
188,1,1,1,45,0,0,26.55,,S
277,0,3,0,45,0,0,7.75,,S
339,1,3,1,45,0,0,8.05,,S
340,0,1,1,45,0,0,35.5,T,S
363,0,3,0,45,0,1,14.4542,,C
441,1,2,0,45,1,1,26.25,,S
537,0,1,1,45,0,0,26.55,B38,S
707,1,2,0,45,0,0,13.5,,S
857,1,1,0,45,1,1,164.8667,,S
204,0,3,1,45.5,0,0,7.225,,C
332,0,1,1,45.5,0,0,28.5,C124,S
93,0,1,1,46,1,0,61.175,E31,S
398,0,2,1,46,0,0,26,,S
790,0,1,1,46,0,0,79.2,B82 B84,C
111,0,1,1,47,0,0,52,C110,S
133,0,3,0,47,1,0,14.5,,S
463,0,1,1,47,0,0,38.5,E63,S
516,0,1,1,47,0,0,34.0208,D46,S
587,0,2,1,47,0,0,15,,S
593,0,3,1,47,0,0,7.25,,S
663,0,1,1,47,0,0,25.5875,E58,S
872,1,1,0,47,1,1,52.5542,D35,S
874,0,3,1,47,0,0,9,,S
461,1,1,1,48,0,0,26.55,E12,S
464,0,2,1,48,0,0,13,,S
557,1,1,0,48,1,0,39.6,A16,C
646,1,1,1,48,1,0,76.7292,D33,C
713,1,1,1,48,1,0,52,C126,S
737,0,3,0,48,1,3,34.375,,S
755,1,2,0,48,1,2,65,,S
772,0,3,1,48,0,0,7.8542,,S
863,1,1,0,48,0,0,25.9292,D17,S
53,1,1,0,49,1,0,76.7292,D33,C
454,1,1,1,49,1,0,89.1042,C92,C
598,0,3,1,49,0,0,0,,S
600,1,1,1,49,1,0,56.9292,A20,C
699,0,1,1,49,1,1,110.8833,C68,C
797,1,1,0,49,0,0,25.9292,D17,S
178,0,1,0,50,0,0,28.7125,C49,C
260,1,2,0,50,0,1,26,,S
300,1,1,0,50,0,1,247.5208,B58 B60,C
